chemical_name,test_cas,test_id,result_id,endpoint,effect,effect_description,conc1_mean,conc1_unit,conc_conversion_flag,conc_conversion_value_multiplier,conc_conversion_unit,conc2_mean,conc2_unit,conc3_mean,conc3_unit,duration_mean,duration_unit,duration_units_to_keep,duration_value_multiplier_to_hours,study_duration_mean,study_duration_unit,obs_duration_mean,obs_duration_unit,organism_habitat,species_number,latin_name,common_name,kingdom,phylum_division,subphylum_div,superclass,class,tax_order,family,genus,species,subspecies,variety,species_present_in_bc,ecological_group,trophic_group,lifestage_description,simple_lifestage,media_type,media_description,media_type_group,present_in_bc_wqg,reference_number,reference_type,author,title,source,publication_year,additional_comments_tests,additional_comments_results,download_date,version
Nitric acid silver (1+) salt (1:1),7761888,1079013,1819,LC50,MOR,Mortality,NR,ug/L,TRUE,0.001,mg/L,,,,,96,h,TRUE,1,NC,NC,96,h,Water,731,Lipophrys pholis,Shanny,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,,,FALSE,Other,Fish,Adult,adult,SW,Salt water,salt water,FALSE,6097,,"Amiard,J.C.","Experimental Study on the Acute Toxicity of Cobalt, Antimony, Strontium and Silver Salts in Some Crustacea and Their Larvae and Some Teleostei",Rev. Int. Oceanogr. Med.43:79-95,1976, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"O,O-Diethyl O-[6-methyl-2-(1-methylethyl)-4-pyrimidinyl] ester phosphorothioic acid",333415,1151732,104579,LC50,MOR,Mortality,NR,ug/L,TRUE,0.001,mg/L,,,,,96,h,TRUE,1,NC,NC,96,h,Water,1,Pimephales promelas,Fathead Minnow,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,,,TRUE,Other,Fish,Fingerling,juvenile,FW,Fresh water,fresh water,TRUE,13005,,"Posner,S., and S. Reimer",The Determination of TLM Values of Diazinon on Fingerling Fish,U.S.EPA-OPP Registration Standard:,1970, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"1,1,2-Trichloroethene",79016,1180405,96318,LC50,MOR,Mortality,132000,ug/L,TRUE,0.001,mg/L,,,,,48,h,TRUE,1,NC,NC,48,h,Water,869,Tubificidae,Oligochaete Family,Animalia,Annelida,,,Oligochaeta,Haplotaxida,Tubificidae,,,,,FALSE,Other,Invertebrate,Not reported,adult,FW,Fresh water,fresh water,TRUE,15788,,"Slooff,W.",Benthic Macroinvertebrates and Water Quality Assessment: Some Toxicological Considerations,Aquat. Toxicol.4:73-82,1983, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"N-[[(4-Chlorophenyl)amino]carbonyl]-2,6-difluorobenzamide",35367385,1184300,142557,NOEC,DVP,Development,0.7,ug/L,TRUE,0.001,mg/L,,,,,33,d,TRUE,24,NC,NC,33,d,Water,974,Insecta,Insect Class,Animalia,Arthropoda,Hexapoda,,Insecta,,,,,,,FALSE,Other,Invertebrate,Not reported,adult,FW,Fresh water,fresh water,FALSE,16329,,"Liber,K., S.L. O'Halloran, K.L. Schmude, and T.D. Corry",Effects of Diflubenzuron on Non-Target Invertebrates in Littoral Enclosures,Can. Tech. Rep. Fish. Aquat. Sci.1989:140-145,1994,HAB/POND//SUBSTR/NR//LOC/NR// , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"2-[(3,5,6-Trichloro-2-pyridinyl)oxy]acetic acid compd. with N,N-diethylethanamine (1:1)",57213691,1200760,250346,NOEC,POP,Population,NR,mg/L,TRUE,1,mg/L,,,,,2,yr,TRUE,8760,NC,NC,2,yr,Water,9958,Magnoliophyta,Angiosperm Division,Plantae,Magnoliophyta,,,,,,,,,,FALSE,NA,NA,Not reported,adult,FW,Fresh water,fresh water,FALSE,18241,,"Getsinger,K.D., E.G. Turner, J.D. Madsen, and M.D. Netherland",Restoring Native Vegetation in a Eurasian Water Milfoil-Dominated Plant Community Using the Herbicide Triclopyr,Regul. Rivers Res. Manag.13(4): 357-375,1997,HAB/RIVER COVE//SUBSTR/NR//LOC/PEND OREILLE R BETWEEN ALBENI FALLS DAM AND BOX CANYON DAM// ," CONTR/C,B//CONC/ONLY CONC TESTED//TESTID/10//MSMT/NR//DOSES/<0.01-3.55 MG/L//SOURCE/WLD//WTINT/NR//DNUM/2//SEX/NR//TMETH/NR//STYPE/NR//ETIME/2 YR//SAMPN/NR//WTAT/NR//INTAKE/NR//COMPEP/NR//LD/NR//DW/NR//STST/NR//HMA/NR//NA/NR//CL/NR//DIC/NR//CA/NR//POT/NR//MG/NR//SO4/NR//SULF/NR//",2023-03-30 15:20,ecotox_ascii_09_15_2022
4-Chloro-alpha-(1-methylethyl)benzeneacetic acid cyano(3-phenoxyphenyl)methyl ester,51630581,1259662,709819,LOEL,POP,Population,0.1,ug/L,TRUE,0.001,mg/L,,,,,1,wk,TRUE,168,NC,NC,1,wk,Water,880,Arthropoda,Arthropod Phylum,Animalia,Arthropoda,,,,,,,,,,FALSE,NA,NA,Not reported,adult,SW,Salt water,salt water,FALSE,4474,,"Tagatz,M.E., and J.M. Ivey",Effects of Fenvalerate on Field- and Laboratory-Developed Estuarine Benthic Communities,Bull. Environ. Contam. Toxicol.27(2): 256-267,1981, ," CHAR/TRIETHYLENE GLYCOL, 15% ACETONE//LIFESTG/SIEVE,6 TAXA//DNUM/4//DOSES/0.1/1.0/10.0 ug/L//TESTID/2//",2023-03-30 15:20,ecotox_ascii_09_15_2022
4-Chlorophenol,106489,1001568,113352,EC50,REP,Reproduction,2000,ug/L,TRUE,0.001,mg/L,,,,,NR,d,TRUE,24,NC,NC,NR,d,Water,2371,Ceriodaphnia dubia,Water Flea,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,dubia,,,FALSE,Planktonic Invertebrate,Invertebrate,Neonate,els,FW,Fresh water,fresh water,TRUE,212,,"Cowgill,U.M., and D.P. Milazzo",The Sensitivity of Ceriodaphnia dubia and Daphnia magna to Seven Chemicals Utilizing the Three-Brood Test,Arch. Environ. Contam. Toxicol.20(2): 211-217,1991, , EFCT/PROGENY// ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine",6190654,1139965,118068,EC50,GRO,Growth,8500,ug/L,TRUE,0.001,mg/L,,,,,NR,d,TRUE,24,NC,NC,NR,d,Water,979,Anabaena cylindrica,Blue-Green Algae,Monera,Cyanophycota,,,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,cylindrica,,,FALSE,Other,Algae,Not reported,adult,FW,Fresh water,fresh water,FALSE,11659,,"Stratton,G.W.","Effects of the Herbicide Atrazine and Its Degradation Products, Alone and in Combination, on Phototrophic Microorganisms",Arch. Environ. Contam. Toxicol.13(1): 35-42,1984, , EFCT/GRO YIELD// ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"2-[(Dimethoxyphosphinothioyl)thio]butanedioic acid 1,4-diethyl ester",121755,2082099,2149390,NOEC,IMM,Immunological,0.04,ppm,TRUE,1,ppm,,,,,NA,NA,FALSE,NA,NA,lva,NA,lva,Water,1770,Aedes albopictus,Asian Tiger Mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae,Aedes,albopictus,,,FALSE,Other,Invertebrate,Instar,NA,FW,Fresh water,fresh water,TRUE,162482,,"Muturi,E.J., K. Costanzo, B. Kesavaraju, and B.W. Alto",Can Pesticides and Larval Competition Alter Susceptibility of Aedes Mosquitoes (Diptera: Culicidae) to Arbovirus Infection?,J. Med. Entomol.48(2): 429-436,2011, ,CONC1/ONLY CONC TESTED// ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",1222055,2201619,2405020,NOEL,ACC,Accumulation,NR,ng/g wet wt diet,NA,NA,NA,,,,,NA,NA,FALSE,NA,NA,mmph,NA,mmph,Water,206,Xenopus laevis,African Clawed Frog,Animalia,Chordata,Vertebrata,,Amphibia,Anura,Pipidae,Xenopus,laevis,,,FALSE,Other,Amphibian,Larva,els,FW,Fresh water,fresh water,FALSE,175021,,"Pablos,M.V., M.A. Jimenez, L.S. Segundo, F. Martini, E. Beltran, and C. Fernandez",Effects of Dietary Exposure of Polycyclic Musk HHCB on the Metamorphosis of Xenopus laevis,Environ. Toxicol. Chem.35(6): 1428-1435,2016,SOURCE/CAME FROM IN HOUSE BREEDING ADULT ANIMALS IN LABORATORY// , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"(2E,4E,7S)-11-Methoxy-3,7,11-trimethyl-2,4-dodecadienoic acid 1-methylethyl ester",65733166,1255675,704933,LOEL,FDB,Feeding behavior,0.12,AI ppb,TRUE,0.001,ppm,,,,,,em,FALSE,NA,NC,NC,,em,Water,17074,Aedes vigilax,Mosquito,Animalia,Arthropoda,Hexapoda,,Insecta,Diptera,Culicidae,Aedes,vigilax,,,FALSE,Other,Invertebrate,Larva,els,FW,Fresh water,fresh water,FALSE,60869,,"Ritchie,S.A., M. Asnicar, and B.H. Kay",Acute and Sublethal Effects of (S)-Methoprene on Some Australian Mosquitoes,Am. Mosq. Control Assoc. J.13(2): 153-155,1997, , CHAR/LARVICIDE (ALL)//TIME/4 DAYS AFTER EMERGENCE//DNUM/2//DOSES/0.12 AI ppb//,2023-03-30 15:20,ecotox_ascii_09_15_2022
4-Nitrophenol,100027,1061850,136306,LOEC,HIS,Histology,100,ug/L,TRUE,0.001,mg/L,,,,,NR,NR,FALSE,NA,NC,NC,NR,NR,Water,5156,Danio rerio,Zebra Danio,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,Danio,rerio,,,FALSE,Other,Fish,Adult,adult,FW,Fresh water,fresh water,FALSE,4999,,"Nagel,R.",Toxicity of Pesticides to Aquatic Vertebrates Illustrated by the Example of the Fish,"In: H.Becker and R.Heitefuss (Eds.), Determination of Herbicides in Aquatic Ecosystems, Johannes Gutenburg-Univ.Mainz, Saarstr., Mainz:88-104",1992, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
4-Nitro-3-(trifluoromethyl)phenol,88302,1030107,11276,LC50,MOR,Mortality,1.98,ul/L,NA,NA,NA,,,,,96,h,TRUE,1,NC,NC,96,h,Water,21,Cyprinus carpio,Common Carp,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,,,TRUE,Other,Fish,Fingerling,juvenile,FW,Fresh water,fresh water,FALSE,997,,"Marking,L.L., and L.E. Olson",Toxicity of the Lampricide 3-Trifluoromethyl-4-Nitrophenol (TFM) to Nontarget Fish in Static Tests,"Invest.Fish Control No.60, Fish Wildl.Serv., Bur.Sport Fish.Wildl., USDI, Washington, DC:27 p.",1975, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
Cadmium chloride (CdCl2),10108642,2034282,2055572,LC50,MOR,Mortality,NR,NR,FALSE,NA,NA,47.7,ug/L,,,48,h,TRUE,1,48,h,48,h,Water,1,Pimephales promelas,Fathead Minnow,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,promelas,,,TRUE,Other,Fish,Larva,els,FW,Fresh water,fresh water,FALSE,157749,,"Robison,A.L.",Influence of Predation-Based Chemical Cues on Contaminant Sensitivity in Fathead Minnows (Pimephales promelas) and Daphnia pulex,"M.S Thesis, Oklahoma State University, OK:52 p.",2011, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
Iron chloride,12040572,1002059,9529,LC50,MOR,Mortality,99400*,ug/L,TRUE,0.001,mg/L,,,,,24,h,TRUE,1,NC,NC,24,h,Water,3060,Tridentiger trigonocephalus,Chameleon Goby,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Tridentiger,trigonocephalus,,,FALSE,Other,Fish,Not reported,adult,SW,Salt water,salt water,FALSE,287,,"Kanda,T., H. Murata, and A. Kuroki","Toxicity of Removal Agents of Red Tide Plankton to the Fishes - with Special Reference to the Toxicity of Hydrogen Peroxide, Iron Sulfate (II) and",Suisan Zoshoku37(3): 221-224,1989, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
4-Aminobenzoic acid ethyl ester,94097,1001197,112575,LC50,MOR,Mortality,30400,ug/L,TRUE,0.001,mg/L,,,,,3,h,TRUE,1,NC,NC,3,h,Water,4,Oncorhynchus mykiss,Rainbow Trout,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,,,TRUE,Salmonid,Fish,Not reported,adult,FW,Fresh water,fresh water,FALSE,182,,"Bills,T.D., G.E. Howe, and L.L. Marking","Effects of Water Temperature, Hardness, and pH on the Toxicity of Benzocaine to Eleven Freshwater Fishes","Invest.Fish Control No.102, Fish Wildl.Serv., Bur.Sport Fish.Wildl., U.S.D.I., Washington, DC:6 p.",1990, , ,2023-03-30 15:20,ecotox_ascii_09_15_2022
"Arsenic acid (H3AsO4), Disodium salt",7778430,1334353,794566,LOEC,FDB,Feeding behavior,NR,mg/kg bdwt/d,NA,NA,NA,,,,,12,wk,TRUE,168,NC,NC,12,wk,Water,4,Oncorhynchus mykiss,Rainbow Trout,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,,,TRUE,Salmonid,Fish,Juvenile,juvenile,FW,Fresh water,fresh water,FALSE,5067,,"Cockell,K.A., J.W. Hilton, and W.J. Bettger",Chronic Toxicity of Dietary Disodium Arsenate Heptahydrate to Juvenile Rainbow Trout (Oncorhynchus mykiss),Arch. Environ. Contam. Toxicol.21:518-527,1991, , DNUM/6//DOSES/0.048 to 0.062/0.102 to 0.133/0.213 to 0.281/0.642 to 0.855/1.260 to 1.600 mg/kg bdwt/d//TESTID/4//,2023-03-30 15:20,ecotox_ascii_09_15_2022
Zinc chloride (ZnCl2),7646857,1265323,716617,NOEL,GEN,Genetics,930,ug/L,TRUE,0.001,mg/L,,,,,14,d,TRUE,24,NC,NC,14,d,Water,4,Oncorhynchus mykiss,Rainbow Trout,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,,,TRUE,Salmonid,Fish,Juvenile,juvenile,FW,Fresh water,fresh water,FALSE,65940,,"Lange,A., O. Ausseil, and H. Segner",Alterations of Tissue Glutathione Levels and Metallothionein mRNA in Rainbow Trout During Single and Combined Exposure to Cadmium and Zinc,Comp. Biochem. Physiol. C Comp. Pharmacol. Toxicol.131(3): 231-243,2002, ," DNUM/3//DOSES/170/930 ug/L//TESTID/1//OEF/MIXTURE, GENETIC PCR AMPLIFICATION////",2023-03-30 15:20,ecotox_ascii_09_15_2022
"2-(4-Chlorophenoxy)-2-methylpropanoic acid, Ethyl ester",637070,2246403,2535987,NOEC,BCM,Biochemistry,15,ug/L,TRUE,0.001,mg/L,,,,,28,d,TRUE,24,28,d,28,d,Water,49,Salmo trutta,Brown Trout,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,,,TRUE,Salmonid,Fish,Juvenile,juvenile,NR,Not reported,not reported,FALSE,181955,,"Madureira,T.V., F. Malhao, T. Simoes, I. Pinheiro, C. Lopes, J.F. Goncalves, R. Urbatzka, L.F.C. Castro, M.F.L. Lemos, ","Sex-Steroids and Hypolipidemic Chemicals Impacts on Brown Trout Lipid and Peroxisome Signaling - Molecular, Biochemical and Morphological Insights",Comp. Biochem. Physiol. C Toxicol. Pharmacol.212:1-17,2018,"SOURCE/TORNO STATION, AMARANTE, PORTUGAL//MEDIA/FW// NR",CONC1/ONLY CONC TESTED// ,2023-03-30 15:20,ecotox_ascii_09_15_2022
